date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size,line,genotype
2024-07-30,Purple1,559,20231117,Male,486.0,LE,,,4kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 1,train,Oddball (Standard),22.0,339,0.690265486725664,0.221238938053097,20240730110250_138.975005596876_1.9576709647251,15,SD,WT
2024-07-30,Green1,498,20231201,Male,550.0,Fmr1-LE_KO,,,32kHz_70dB_BBN_60dB_8s_4-6_probe,Oddball,Tone-BBN,Probe trials,Round 1,train,Oddball (Catch),19.0,319,0.839464882943144,0.169278996865204,20240730142114_32.4900068342686_1.63971094424636,16,Fmr1,KO
2024-07-31,Purple1,559,20231117,Male,481.0,LE,,,4kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 1,train,Oddball (Standard),22.0,330,0.56969696969697,0.312121212121212,20240731111100_28.965000808239_1.41590625899133,15,SD,WT
2024-07-31,Green1,498,20231201,Male,552.0,Fmr1-LE_KO,,,8kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Between Probes,train,Oddball (Standard),17.0,269,0.87732342007435,0.100371747211896,20240731142719_31.1559967696667_1.06096829139699,15,Fmr1,KO
2024-08-01,Purple1,559,20231117,Male,485.0,LE,,,16kHz_70dB_6kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 1,train,Oddball (Standard),21.0,325,0.787692307692308,0.141538461538462,20240801112249_175.883998721838_1.13736921276223,15,SD,WT
2024-08-01,Green1,498,20231201,Male,555.0,Fmr1-LE_KO,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Between Probes,train,Oddball (Standard),20.0,312,0.891025641025641,0.105769230769231,20240801143735_118.65099593997_1.29572784342115,15,Fmr1,KO
2024-08-02,Purple1,559,20231117,Male,486.0,LE,,,32kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 1,train,Oddball (Standard),23.0,359,0.852367688022284,0.108635097493036,20240802111555_35.0570015609264_1.27296540325346,15,SD,WT
2024-08-02,Green1,498,20231201,Male,555.0,Fmr1-LE_KO,,,4kHz_70dB_BBN_60dB_8s_4-6_probe,Oddball,Tone-BBN,Probe trials,Round 1,train,Oddball (Catch),17.0,275,0.782945736434109,0.163636363636364,20240802142023_102.598005160689_1.57728179198762,16,Fmr1,KO
2024-08-03,Purple1,559,20231117,Male,490.0,LE,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),23.0,356,0.856741573033708,0.0898876404494382,20240803111458_131.261005997658_1.4947208728081,15,SD,WT
2024-08-03,Green1,498,20231201,Male,553.0,Fmr1-LE_KO,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Between Probes,train,Oddball (Standard),18.0,280,0.892857142857143,0.103571428571429,20240803143018_159.167996048927_1.42831034177495,15,Fmr1,KO
2024-08-05,Purple1,559,20231117,Male,495.0,LE,,,4kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),20.0,301,0.624584717607973,0.275747508305648,20240805105812_184.015004709363_1.15798969140866,15,SD,WT
2024-08-05,Green1,498,20231201,Male,573.0,Fmr1-LE_KO,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Between Probes,train,Oddball (Standard),15.0,238,0.88655462184874,0.105042016806723,20240805140005_129.386996850371_1.58001702080075,15,Fmr1,KO
2024-08-06,Purple1,559,20231117,Male,484.0,LE,,,16kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),20.0,301,0.388704318936877,0.401993355481728,20240806111118_31.5730031579733_1.12248151651932,15,SD,WT
2024-08-06,Green1,498,20231201,Male,569.0,Fmr1-LE_KO,,,16kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Between Probes,train,Oddball (Standard),14.0,218,0.798165137614679,0.197247706422018,20240806141523_75.5199987441301_1.88537444974115,15,Fmr1,KO
2024-08-07,Purple1,559,20231117,Male,486.0,LE,,,32kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),24.0,370,0.937837837837838,0.0351351351351351,20240807111213_129.487006366253_1.70794873705591,15,SD,WT
2024-08-08,Purple1,559,20231117,Male,487.0,LE,,,4kHz_70dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Base case,Round 2,train,Oddball (Standard),23.0,355,0.785915492957746,0.129577464788732,20240808111430_91.6430052369833_1.00997327549037,15,SD,WT
2024-08-09,Purple1,559,20231117,Male,483.0,LE,,,16kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),21.0,329,0.613981762917933,0.27355623100304,20240809111241_82.0380080491304_1.36212227641123,15,SD,WT
2024-08-10,Purple1,559,20231117,Male,488.0,LE,,,32kHz_70dB_12kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),25.0,383,0.856396866840731,0.0992167101827676,20240810111312_157.702996954322_1.62022935011002,15,SD,WT
2024-08-12,Purple1,559,20231117,Male,494.0,LE,,,4kHz_70dB_24kHz_60dB_8s_4-6,Oddball,Tone-Tone,Base case,Round 2,train,Oddball (Standard),21.0,320,0.559375,0.325,20240812105838_94.9590001255274_1.6947854500932,15,SD,WT
